AAL,American Airlines Group
CRON,Cronos Group Inc. - Common Share
CRSR,Corsair Gaming
CRTX,Cortexyme
CSQ,Calamos Strategic Total Return Fund - Common Stock
CTMX,CytomX Therapeutics
CTRE,CareTrust REIT
CURI,CuriosityStream Inc.  - Class A Common Stock
CVAC,CureVac N.V. - Ordinary Shares
CVET,Covetrus
DADA,Dada Nexus Limited - American Depositary Shares
DAVE,Dave Inc.  - Class A Common Stock
DBX,Dropbox
DCPH,Deciphera Pharmaceuticals
DCT,Duck Creek Technologies
DH,Definitive Healthcare Corp. - Class A Common Stock
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest
DKNG,DraftKings Inc. - Class A Common Stock
DMTK,DermTech
DNAB,Social Capital Suvretta Holdings Corp. II - Class A Ordinary Shares
DNUT,Krispy Kreme
DOGZ,Dogness (International) Corporation - Class A Common Stock
DTIL,Precision BioSciences
DVAX,Dynavax Technologies Corporation - Common Stock
DWACW,Digital World Acquisition Corp. - Warrants
EAR,Eargo
EDIT,Editas Medicine
EH,EHang Holdings Limited - ADS
ENDP,Endo International plc - Ordinary Shares
ENNV,ECP Environmental Growth Opportunities Corp. - Class A Common Stock
ENVX,Enovix Corporation - Common Stock
EQRX,EQRx
ERAS,Erasca
ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share
ESPR,Esperion Therapeutics
EUFN,iShares MSCI Europe Financials Sector Index Fund
EVGO,EVgo Inc. - Common Stock
EXEL,Exelixis
EXPI,eXp World Holdings
EXTR,Extreme Networks
FCEL,FuelCell Energy
FFIE,Faraday Future Intelligent Electric Inc. - Common Stock
FGEN,FibroGen
FLEX,Flex Ltd. - Ordinary Shares
FLNC,Fluence Energy
FOLD,Amicus Therapeutics
FREQ,Frequency Therapeutics
FRSH,Freshworks Inc. - Class A Common Stock
FTCI,FTC Solar
FTGC,First Trust Global Tactical Commodity Strategy Fund
FULT,Fulton Financial Corporation - Common Stock
FUV,Arcimoto
GAN,GAN Limited - Ordinary Shares
GBDC,Golub Capital BDC
GDRX,GoodRx Holdings
GEVO,Gevo
GGPI,Gores Guggenheim
GHIXU,Gores Holdings IX
GIIX,Gores Holdings VIII
GMDA,Gamida Cell Ltd. - Ordinary Shares
GMVD,G Medical Innovations Holdings Ltd. - Ordinary Shares
GOEV,Canoo Inc.  - Class A Common Stock
GOGL,Golden Ocean Group Limited - Common Stock
GOGO,Gogo Inc. - Common Stock
GOSS,Gossamer Bio
GPRO,GoPro
GRAB,Grab Holdings Limited - Class A Ordinary Shares
GRFS,Grifols
GRPN,Groupon
GRTS,Gritstone bio
GRUB,Just Eat Takeaway.com N.V. - American Depositary Shares
GRWG,GrowGeneration Corp. - Common Stock
GSKY,GreenSky
GSM,Ferroglobe PLC - Ordinary Shares
GT,The Goodyear Tire & Rubber Company - Common Stock
GTHX,G1 Therapeutics
HA,Hawaiian Holdings
HBAN,Huntington Bancshares Incorporated - Common Stock
HBMD,Howard Bancorp
HILS,Hillstream BioPharma
HIMX,Himax Technologies
HLIT,Harmonic Inc. - Common Stock
HLMN,Hillman Solutions Corp. - Common Stock
HLTH,Cue Health Inc. - Common Stock
HMHC,Houghton Mifflin Harcourt Company - Common Stock
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF
HNST,The Honest Company
HOLI,Hollysys Automation Technologies
HOOD,Robinhood Markets
HOPE,Hope Bancorp
HOUR,Hour Loop
HRTX,Heron Therapeutics
HST,Host Hotels  - Common Stock
HTZ,Hertz Global Holdings
HTZWW,Hertz Global Holdings
HUT,Hut 8 Mining Corp. - Common Shares
HYZN,Hyzon Motors Inc. - Class A Common Stock
IBRX,ImmunityBio
ICLN,iShares S&P Global Clean Energy Index Fund
ICPT,Intercept Pharmaceuticals
IHRT,iHeartMedia
IMGN,ImmunoGen
IMMR,Immersion Corporation - Common Stock
IMTE,Integrated Media Technology Limited - Ordinary Shares
INDI,indie Semiconductor
INFN,Infinera Corporation - Common Stock
INO,Inovio Pharmaceuticals
INSG,Inseego Corp. - Common Stock
INSM,Insmed
INVZ,Innoviz Technologies Ltd. - Ordinary shares
IOVA,Iovance Biotherapeutics
IQ,iQIYI
IRWD,Ironwood Pharmaceuticals
ISBC,Investors Bancorp
ISEE,IVERIC bio
JBLU,JetBlue Airways Corporation - Common Stock
JOFF,JOFF Fintech Acquisition Corp. - Class A Common Stock
KC,Kingsoft Cloud Holdings Limited - American Depositary Shares
KNBE,KnowBe4
KOPN,Kopin Corporation - Common Stock
KPTI,Karyopharm Therapeutics Inc. - Common Stock
KTOS,Kratos Defense & Security Solutions
KURA,Kura Oncology
LAUR,Laureate Education
LAZR,Luminar Technologies
LESL,Leslie's
LFST,LifeStance Health Group
LILAK,Liberty Latin America Ltd. - Class C Common Stock
LILM,Lilium N.V. - Class A Ordinary Shares
LLNW,Limelight Networks
LPRO,Open Lending Corporation - Class A Common Stock
LTCH,Latch
LWLG,Lightwave Logic
LX,LexinFintech Holdings Ltd. - American Depositary Shares
MAQC,Maquia Capital Acquisition Corporation - Class A Common Stock
MARA,Marathon Digital Holdings
MAT,Mattel
MBOT,Microbot Medical Inc.  - Common Stock
MCRB,Seres Therapeutics
MDRX,Allscripts Healthcare Solutions
ME,23andMe Holding Co. - Common Stock
MGI,Moneygram International
MGNI,Magnite
MGTA,Magenta Therapeutics
MLCO,Melco Resorts & Entertainment Limited - American Depositary Shares 
MNDT,Mandiant
MNKD,MannKind Corporation - Common Stock
MNTV,Momentive Global Inc.  - Common Stock
MOMO,Hello Group Inc.  - American Depositary Shares
MQ,Marqeta
MRSN,Mersana Therapeutics
MRVL,Marvell Technology
MTTR,Matterport
MVIS,MicroVision
MVST,Microvast Holdings
NAVI,Navient Corporation - Common Stock
NEO,NeoGenomics
NIU,Niu Technologies - American Depositary Shares
NKLA,Nikola Corporation - Common Stock
NKTR,Nektar Therapeutics - Common Stock
NMRK,Newmark Group
NNDM,Nano Dimension Ltd. - American Depositary Shares
NNOX,NANO-X IMAGING LTD - Ordinary Shares
NVTS,Navitas Semiconductor Corporation - Common Stock
NWBI,Northwest Bancshares
NWL,Newell Brands Inc. - Common Stock
NWSA,News Corporation - Class A Common Stock
NYMT,New York Mortgage Trust
OCDX,Ortho Clinical Diagnostics Holdings plc - Ordinary Shares
OCGN,Ocugen
OCSL,Oaktree Specialty Lending Corporation - Common Stock
OLPX,Olaplex Holdings
ONB,Old National Bancorp - Common Stock
ONEM,1Life Healthcare
OPCH,Option Care Health
OPEN,Opendoor Technologies Inc  - Common Stock
OPK,Opko Health
ORGN,Origin Materials
ORGO,Organogenesis Holdings Inc.  - Class A 
ORMP,Oramed Pharmaceuticals Inc. - Common Stock
OSUR,OraSure Technologies
OTLY,Oatly Group AB - American Depositary Shares
OXLC,Oxford Lane Capital Corp. - Common Stock
OZON,Ozon Holdings PLC - ADS
PAA,Plains All American Pipeline
PAAS,Pan American Silver Corp. - Common Stock
PACB,Pacific Biosciences of California
PAGP,Plains GP Holdings
PAYO,Payoneer Global Inc. - Common Stock
PBCT,People's United Financial
PCT,PureCycle Technologies
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
PDSB,PDS Biotechnology Corporation - Common Stock
PERI,Perion Network Ltd - Ordinary Shares
PETS,PetMed Express
PIK,Kidpik Corp. - Common Stock
PIRS,Pieris Pharmaceuticals
PLBY,PLBY Group
PLTK,Playtika Holding Corp. - Common Stock
PLUG,Plug Power
PLYA,Playa Hotels & Resorts N.V. - Ordinary Shares
POSH,Poshmark
POWW,AMMO
PRCH,Porch Group
PRPL,Purple Innovation
PRQR,ProQR Therapeutics N.V. - Ordinary Shares
PRTS,CarParts.com
PSCE,Invesco S&P SmallCap Energy ETF
PSEC,Prospect Capital Corporation - Common Stock
PTEN,Patterson-UTI Energy
PTRA,Proterra Inc - Common Stock
PUBM,PubMatic
PXLW,Pixelworks
QFIN,360 DigiTech
QRTEA,Qurate Retail
QSI,Quantum-Si Incorporated - Class A Common Stock
QYLD,Global X NASDAQ-100 Covered Call ETF
RADI,Radius Global Infrastructure
RCM,R1 RCM Inc. - Common Stock
RDUS,Radius Health
REAL,The RealReal
REE,REE Automotive Ltd. - Class A Ordinary Shares
RELI,Reliance Global Group
RENT,Rent the Runway
RIOT,Riot Blockchain
RKLB,Rocket Lab USA
RMNI,Rimini Street
RNW,ReNew Energy Global plc - Class A Shares
ROIC,Retail Opportunity Investments Corp. - Common Stock
RUBY,Rubius Therapeutics
RXRX,Recursion Pharmaceuticals
RXT,Rackspace Technology
SABR,Sabre Corporation - Common Stock
SANA,Sana Biotechnology
SBEA,SilverBox Engaged Merger Corp I - Class A Common Stock
SBLK,Star Bulk Carriers Corp. - Common Shares
SBRA,Sabra Health Care REIT
SCPL,SciPlay Corporation - Class A Common Stock
SCRMU,Screaming Eagle Acquisition Corp. - Unit
SEAT,Vivid Seats Inc. - Class A common stock
SEV,Sono Group N.V. - Common Shares
SFIX,Stitch Fix
SGMO,Sangamo Therapeutics
SHC,Sotera Health Company - Common Stock
SHCR,Sharecare
SHLS,Shoals Technologies Group
SIRI,Sirius XM Holdings Inc. - Common Stock
SKIN,The Beauty Health Company - Class A Common Stock
SLDP,Solid Power
SLGC,SomaLogic
SLM,SLM Corporation - Common Stock
SMFR,Sema4 Holdings Corp. - Class A Common Stock
SOFI,SoFi Technologies
SONO,Sonos
SPKB,Silver Spike Acquisition Corp II - Class A Ordinary Shares
SPWH,Sportsman's Warehouse Holdings
SPWR,SunPower Corporation - Common Stock
SRNE,Sorrento Therapeutics
SSRM,SSR Mining Inc. - Common Stock
SSYS,Stratasys
STKL,SunOpta
STNE,StoneCo Ltd. - Class A Common Share
STOK,Stoke Therapeutics
STRN,Stran & Company
SUMO,Sumo Logic
SVC,Service Properties Trust - Shares of Beneficial Interest
SVFA,SVF Investment Corp. - Class A Ordinary Shares
SWBI,Smith & Wesson Brands
SWIM,Latham Group
TACO,Del Taco Restaurants
TBLA,Taboola.com Ltd. - Ordinary Shares
TBPH,Theravance Biopharma
TDUP,ThredUp Inc. - Class A Common Stock
TGTX,TG Therapeutics
TIGR,UP Fintech Holding Limited - American Depositary Shares representing fifteen Class A Ordinary Shares
TKLF,Yoshitsu Co.
TLRY,Tilray Brands
TLS,Telos Corporation - Common Stock
TPIC,TPI Composites
TRUE,TrueCar
TSP,TuSimple Holdings Inc. - Class A Common Stock
TTCF,Tattooed Chef
TTMI,TTM Technologies
TWNK,Hostess Brands
TWOU,2U
UMPQ,Umpqua Holdings Corporation - Common Stock
UNIT,Uniti Group Inc. - Common Stock
UROY,Uranium Royalty Corp. - Common Stock
USOI,Credit Suisse X-Links Crude Oil Shares Covered Call ETN
VERU,Veru Inc. - Common Stock
VFF,Village Farms International
VG,Vonage Holdings Corp. - Common Stock
VIAV,Viavi Solutions Inc. - Common Stock
VIVO,Meridian Bioscience Inc. - Common Stock
VKTX,Viking Therapeutics
VLDR,Velodyne Lidar
VLY,Valley National Bancorp - Common Stock
VMEO,Vimeo
VNET,VNET Group
VOD,Vodafone Group Plc - American Depositary Shares each representing ten Ordinary Shares
VORB,Virgin Orbit Holdings
VRAY,ViewRay
VRM,Vroom
VTNR,Vertex Energy
VTRS,Viatris Inc. - Common Stock
VUZI,Vuzix Corporation  - Common Stock
VXRT,Vaxart
WEJO,Wejo Group Limited - Common Shares
WEN,Wendy's Company (The) - Common Stock
WETF,WisdomTree Investments
WKHS,Workhorse Group
WOOF,Petco Health and Wellness Company
WW,WW International
XRX,Xerox Holdings Corporation - Common Stock
ZNGA,Zynga Inc. - Class A Common Stock
ZVZZT,NASDAQ TEST STOCK
ZY,Zymergen Inc. - Common Stock
ABR,Arbor Realty Trust Common Stock
ACHR,Archer Aviation Inc. Class A Common Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock
ADT,ADT Inc. Common Stock
AEG,AEGON N.V. Common Stock
AEO,American Eagle Outfitters
AES,The AES Corporation Common Stock
AEVA,Aeva Technologies
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares
AGI,Alamos Gold Inc. Class A Common Shares
AGL,agilon health
AHT,Ashford Hospitality Trust Inc Common Stock
AIV,Apartment Investment and Management Company Common Stock
ALIT,Alight
AM,Antero Midstream Corporation Common Stock
AMBC,Ambac Financial Group
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMC,AMC Entertainment Holdings
AMCR,Amcor plc Ordinary Shares
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN
AMPS,Altus Power
AMPY,Amplify Energy Corp. Common Stock
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil
APG,APi Group Corporation Common Stock
APLE,Apple Hospitality REIT
APRN,Blue Apron Holdings
AQN,Algonquin Power & Utilities Corp. Common Shares
AR,Antero Resources Corporation Common Stock
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARI,Apollo Commercial Real Estate Finance
ARLO,Arlo Technologies
AROC,Archrock
ARR,ARMOUR Residential REIT
ASB,Associated Banc-Corp Common Stock
ASX,ASE Technology Holding Co.
ATCO,Atlas Corp. Common Shares
ATEN,A10 Networks
ATI,Allegheny Technologies Incorporated Common Stock
ATIP,ATI Physical Therapy
ATUS,Altice USA
AU,AngloGold Ashanti Limited Common Stock
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AVYA,Avaya Holdings Corp. Common Stock
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial Interest
AXL,American Axle & Manufacturing Holdings
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
BARK,BARK
BB,BlackBerry Limited Common Stock
BBD,Banco Bradesco Sa American Depositary Shares
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BCS,Barclays PLC Common Stock
BDJ,Blackrock Enhanced Equity Dividend Trust
BDN,Brandywine Realty Trust Common Stock
BE,Bloom Energy Corporation Class A Common Stock
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BFLY,Butterfly Network
BHC,Bausch Health Companies Inc. Common Stock
BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial Interest
BITO,ProShares Bitcoin Strategy ETF
BKD,Brookdale Senior Living Inc. Common Stock
BKKT,Bakkt Holdings
BKLN,Invesco Senior Loan ETF
BLND,Blend Labs
BNO,United States Brent Oil Fund
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests
BRFS,BRF S.A.
BRMK,Broadmark Realty Capital Inc. Common Stock
BRX,Brixmor Property Group Inc. Common Stock
BSBR,Banco Santander Brasil SA American Depositary Shares
BSM,Black Stone Minerals
BTG,B2Gold Corp Common shares (Canada)
BTU,Peabody Energy Corporation Common Stock 
BULZ,MicroSectors FANG & Innovation 3x Leveraged ETN
BVN,Buenaventura Mining Company Inc.
CAL,Caleres
CANO,Cano Health
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share
CCJ,Cameco Corporation Common Stock
CCL,Carnival Corporation Common Stock
CCO,Clear Channel Outdoor Holdings
CDE,Coeur Mining
CHPT,ChargePoint Holdings
CHS,Chico's FAS
CIM,Chimera Investment Corporation Common Stock
CLF,Cleveland-Cliffs Inc. Common Stock
CLM,Cornerstone Strategic Value Fund
CLVT,Clarivate Plc Ordinary Shares
CND,Concord Acquisition Corp. Class A Common Stock
CNHI,CNH Industrial N.V. Common Shares
CNK,Cinemark Holdings Inc Cinemark Holdings
CNM,Core & Main
CNO,CNO Financial Group
CNX,CNX Resources Corporation Common Stock
COMP,Compass
COOK,Traeger
COTY,Coty Inc. Class A Common Stock
COUR,Coursera
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
CPLG,CorePoint Lodging Inc. Common Stock 
CPNG,Coupang
CRF,Cornerstone Total Return Fund
CRHC,Cohn Robbins Holdings Corp. Class A Ordinary Shares
CRK,Comstock Resources
CS,Credit Suisse Group American Depositary Shares
CSPR,Casper Sleep Inc. Common Stock
CTRA,Coterra Energy Inc. Common Stock
CUK,Carnival Plc ADS ADS
CURV,Torrid Holdings Inc. Common Stock
CVE,Cenovus Energy Inc Common Stock
CVM,Cel-Sci Corporation Common Stock
CWEB,Direxion Daily CSI China Internet Index Bull 2X Shares
CWK,Cushman & Wakefield plc Ordinary Shares
CX,Cemex
CXM,Sprinklr
CXW,CoreCivic
CYH,Community Health Systems
CZOO,Cazoo Group Ltd Class A Ordinary Shares
DB,Deutsche Bank AG Common Stock
DBA,Invesco DB Agriculture Fund
DBC,Invesco DB Commodity Index Tracking Fund
DBI,Designer Brands Inc. Class A Common Stock
DBO,Invesco DB Oil Fund
DBRG,DigitalBridge Group
DDD,3D Systems Corporation Common Stock
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
DEA,Easterly Government Properties
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares
DHT,DHT Holdings
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share)
DM,Desktop Metal
DNA,Ginkgo Bioworks Holdings
DNB,Dun & Bradstreet Holdings
DNMR,Danimer Scientific
DNP,DNP Select Income Fund
DOC,Physicians Realty Trust Common Shares of Beneficial Interest
DOMA,Doma Holdings
DRH,Diamondrock Hospitality Company Common Stock
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares
DSL,DoubleLine Income Solutions Fund Common Shares of Beneficial Interests
DUST,Direxion Daily Gold Miners Index Bear 2X Shares
DV,DoubleVerify Holdings
DX,Dynex Capital
EAF,GrafTech International Ltd. Common Stock
EB,Eventbrite
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
EC,Ecopetrol S.A. American Depositary Shares
ECC,Eagle Point Credit Company Inc. Common Stock
EFC,Ellington Financial Inc. Common Stock 
EGHT,8x8 Inc Common Stock
EGO,Eldorado Gold Corporation Ordinary Shares
ELVT,Elevate Credit
ENLC,EnLink Midstream
ENPC,Executive Network Partnering Corporation Class A Common Stock
EPD,Enterprise Products Partners L.P. Common Stock
EQT,EQT Corporation Common Stock
EQX,Equinox Gold Corp. Common Shares
ERF,Enerplus Corporation Common Stock
ERJ,Embraer S.A. Common Stock
ERY,Direxion Daily Energy Bear 2X Shares
ESI,Element Solutions Inc. Common Stock
ESRT,Empire State Realty Trust
ET,Energy Transfer LP Common Units 
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest
ETRN,Equitrans Midstream Corporation Common Stock 
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest
ETWO,E2open Parent Holdings
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest
EURN,Euronav NV Ordinary Shares
EWA,iShares MSCI Australia Index Fund
EWH,iShares MSCI Hong Kong Index Fund
EWS,iShares Inc iShares MSCI Singapore ETF
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest
EXK,Endeavour Silver Corporation Ordinary Shares (Canada)
EXPR,Express
EXTN,Exterran Corporation Common Stock
F,Ford Motor Company Common Stock
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock
FAZ,Direxion Financial Bear 3X Shares
FBP,First BanCorp. New Common Stock
FCG,First Trust Natural Gas ETF
FENY,Fidelity MSCI Energy Index ETF
FHN,First Horizon Corporation Common Stock
FIGS,FIGS
FINV,FinVolution Group American Depositary Shares
FLR,Fluor Corporation Common Stock
FNB,F.N.B. Corporation Common Stock
FNGU,MicroSectors FANG  Index 3X Leveraged ETNs due January 8
FPE,First Trust Preferred Securities and Income ETF ETF
FREY,FREYR Battery Ordinary Shares
FRO,Frontline Ltd. Ordinary Shares
FSK,FS KKR Capital Corp. Common Stock
FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada)
FSR,Fisker Inc. Class A Common Stock
FTCH,Farfetch Limited Class A Ordinary Shares
FTI,TechnipFMC plc Ordinary Share
FUBO,fuboTV Inc. Common Stock
FXN,First Trust Energy AlphaDEX Fund
GAB,Gabelli Equity Trust
GATO,Gatos Silver
GCI,Gannett Co.
GENI,Genius Sports Limited Ordinary Shares
GEO,Geo Group Inc (The) REIT
GES,Guess?
GFI,Gold Fields Limited American Depositary Shares
GGB,Gerdau S.A. Common Stock
GGN,GAMCO Global Gold
GLDM,SPDR Gold MiniShares Trust
GLO,Clough Global Opportunities Fund Common Stock
GNK,Genco Shipping & Trading Limited Ordinary Shares New (Marshall Islands)
GNL,Global Net Lease
GNW,Genworth Financial Inc Common Stock
GOF,Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares
GOLD,Barrick Gold Corporation Common Stock (BC)
GPK,Graphic Packaging Holding Company
GPS,Gap
GSBD,Goldman Sachs BDC
GSG,iShares GSCI Commodity-Indexed Trust Fund
GSL,Global Ship Lease Inc New Class A Common Shares
GWH,ESS Tech
HAYW,Hayward Holdings
HBI,Hanesbrands Inc. Common Stock
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada)
HFGO,Hartford Large Cap Growth ETF
HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares
HIMS,Hims & Hers Health
HL,Hecla Mining Company Common Stock
HLX,Helix Energy Solutions Group
HMA.U,Heartland Media Acquisition Corp. Units
HMY,Harmony Gold Mining Company Limited
HPE,Hewlett Packard Enterprise Company Common Stock
HPP,Hudson Pacific Properties
HRB,H&R Block
HTGC,Hercules Capital
HUYA,HUYA Inc. American depositary shares
HYLN,Hyliion Holdings Corp. Class A Common Stock
HYT,Blackrock Corporate High Yield Fund
IBN,ICICI Bank Limited Common Stock
ICL,ICL Group Ltd. Ordinary Shares
ILF,iShares Latin America 40 ETF
INFY,Infosys Limited American Depositary Shares
ING,ING Group
IONQ,IonQ
IOT,Samsara Inc. Class A Common Stock
IPOD,Social Capital Hedosophia Holdings Corp. IV Class A Ordinary Shares
IPOF,Social Capital Hedosophia Holdings Corp. VI Class A Ordinary Shares
IRNT,IronNet
IRT,Independence Realty Trust
IS,ironSource Ltd. Class A Ordinary Shares
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
IVAN,Ivanhoe Capital Acquisition Corp. Class A Ordinary Shares
IVZ,Invesco Ltd Common Stock
JBI,Janus International Group
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares
JETS,U.S. Global Jets ETF
JMIA,Jumia Technologies AG American Depositary Shares
JOBY,Joby Aviation
JPS,Nuveen Preferred & Income Securities Fund
JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest
JWN,Nordstrom
KAR,KAR Auction Services
KD,Kyndryl Holdings
KEY,KeyCorp Common Stock
KGC,Kinross Gold Corporation Common Stock
KIM,Kimco Realty Corporation Common Stock
KIND,Nextdoor Holdings
KMI,Kinder Morgan
KN,Knowles Corporation Common Stock
KNSW.U,KnightSwan Acquisition Corporation Units
KODK,Eastman Kodak Company Common New
KOS,Kosmos Energy Ltd. Common Shares (DE)
KRG,Kite Realty Group Trust Common Stock
KT,KT Corporation Common Stock
KYN,Kayne Anderson Energy Infrastructure Fund
LABU,Direxion Daily S&P Biotech Bull 3X Shares
LBRT,Liberty Oilfield Services Inc. Class A Common Stock
LC,LendingClub Corporation Common Stock
LDI,loanDepot
LEAP,Ribbit LEAP
LEV,The Lion Electric Company Common Shares
LEVI,Levi Strauss & Co Class A Common Stock
LICY,Li-Cycle Holdings Corp. Common Shares
LPL,LG Display Co
LTHM,Livent Corporation Common Stock
LU,Lufax Holding Ltd American Depositary Shares
LUMN,Lumen Technologies
LXP,LXP Industrial Trust Common Stock (Maryland REIT)
MAC,Macerich Company (The) Common Stock
MBT,Mobile TeleSystems Public Joint Stock Company American Depositary Shares (Each representing 2 Shares of Common Stock)
MCW,Mister Car Wash
META,Roundhill Ball Metaverse ETF
MFA,MFA Financial
MFC,Manulife Financial Corporation Common Stock
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh
