Date, Open, High, Low, Close, Adj Close, Volume
IOVA,Iovance Biotherapeutics
IQ,iQIYI
INO,Inovio Pharmaceuticals
ISBC,Investors Bancorp
IMUX,Immunic
KSCP,Knightscope
ME,23andMe Holding Co. - Common Stock
KC,Kingsoft Cloud Holdings Limited - American Depositary Shares
JBLU,JetBlue Airways Corporation - Common Stock
KPTI,Karyopharm Therapeutics Inc. - Common Stock
LX,LexinFintech Holdings Ltd. - American Depositary Shares
MARA,Marathon Digital Holdings
MAT,Mattel
LAZR,Luminar Technologies
MDRX,Allscripts Healthcare Solutions
MNDT,Mandiant
MQ,Marqeta
MTTR,Matterport
MGI,Moneygram International
MNKD,MannKind Corporation - Common Stock
MGNI,Magnite
MOMO,Hello Group Inc.  - American Depositary Shares
MRVL,Marvell Technology
MVIS,MicroVision
MLCO,Melco Resorts & Entertainment Limited - American Depositary Shares 
NKLA,Nikola Corporation - Common Stock
NNDM,Nano Dimension Ltd. - American Depositary Shares
NAVI,Navient Corporation - Common Stock
NKTR,Nektar Therapeutics - Common Stock
OCGN,Ocugen
NWL,Newell Brands Inc. - Common Stock
NYMT,New York Mortgage Trust
NWSA,News Corporation - Class A Common Stock
OMP,Oasis Midstream Partners LP - Common Units
ONEM,1Life Healthcare
OTLY,Oatly Group AB - American Depositary Shares
OPK,Opko Health
OPEN,Opendoor Technologies Inc  - Common Stock
ORMP,Oramed Pharmaceuticals Inc. - Common Stock
PAAS,Pan American Silver Corp. - Common Stock
PAA,Plains All American Pipeline
PAGP,Plains GP Holdings
OZON,Ozon Holdings PLC - ADS
PACB,Pacific Biosciences of California
PAE,PAE Incorporated - Class A Common Stock
PAYO,Payoneer Global Inc. - Common Stock
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
PLTK,Playtika Holding Corp. - Common Stock
PBCT,People's United Financial
PLYA,Playa Hotels & Resorts N.V. - Ordinary Shares
PTEN,Patterson-UTI Energy
PLUG,Plug Power
POWW,AMMO
PLBY,PLBY Group
PRVB,Provention Bio
PTRA,Proterra Inc - Common Stock
RKLB,Rocket Lab USA
RIOT,Riot Blockchain
QYLD,Global X NASDAQ-100 Covered Call ETF
SBLK,Star Bulk Carriers Corp. - Common Shares
ROVR,Rover Group
SABR,Sabre Corporation - Common Stock
QRTEA,Qurate Retail
REAL,The RealReal
RIDE,Lordstown Motors Corp. - Class A Common Stock
SGLY,Singularity Future Technology Ltd. - Common Stock
SKIN,The Beauty Health Company - Class A Common Stock
SMFR,Sema4 Holdings Corp. - Class A Common Stock
SOFI,SoFi Technologies
SIRI,Sirius XM Holdings Inc. - Common Stock
SFIX,Stitch Fix
SBRA,Sabra Health Care REIT
SHLS,Shoals Technologies Group
SLM,SLM Corporation - Common Stock
SPWR,SunPower Corporation - Common Stock
TKLF,Yoshitsu Co.
TSP,TuSimple Holdings Inc. - Class A Common Stock
TLRY,Tilray Brands
SRNE,Sorrento Therapeutics
TWNK,Hostess Brands
STNE,StoneCo Ltd. - Class A Common Share
TGTX,TG Therapeutics
TIGR,UP Fintech Holding Limited - American Depositary Shares representing fifteen Class A Ordinary Shares
VG,Vonage Holdings Corp. - Common Stock
VERU,Veru Inc. - Common Stock
VMEO,Vimeo
VLY,Valley National Bancorp - Common Stock
VLDR,Velodyne Lidar
VTRS,Viatris Inc. - Common Stock
VOD,Vodafone Group Plc - American Depositary Shares each representing ten Ordinary Shares
VTNR,Vertex Energy
WKHS,Workhorse Group
VRM,Vroom
VXRT,Vaxart
VUZI,Vuzix Corporation  - Common Stock
AEG,AEGON N.V. Common Stock
ZNGA,Zynga Inc. - Class A Common Stock
AES,The AES Corporation Common Stock
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AEO,American Eagle Outfitters
AM,Antero Midstream Corporation Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
XRX,Xerox Holdings Corporation - Common Stock
ADT,ADT Inc. Common Stock
AIV,Apartment Investment and Management Company Common Stock
AMWL,American Well Corporation Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AMC,AMC Entertainment Holdings
AMX,America Movil
AR,Antero Resources Corporation Common Stock
AQN,Algonquin Power & Utilities Corp. Common Shares
ASX,ASE Technology Holding Co.
ARR,ARMOUR Residential REIT
ATC,Atotech Limited Common Shares
ATI,Allegheny Technologies Incorporated Common Stock
BARK,BARK
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AU,AngloGold Ashanti Limited Common Stock
ATUS,Altice USA
BB,BlackBerry Limited Common Stock
BE,Bloom Energy Corporation Class A Common Stock
BBD,Banco Bradesco Sa American Depositary Shares
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BCS,Barclays PLC Common Stock
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
BITO,ProShares Bitcoin Strategy ETF
BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial Interest
BLND,Blend Labs
BKKT,Bakkt Holdings
BFLY,Butterfly Network
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BKLN,Invesco Senior Loan ETF
BTG,B2Gold Corp Common shares (Canada)
BRFS,BRF S.A.
BSAC,Banco Santander - Chile ADS
BULZ,MicroSectors FANG & Innovation 3x Leveraged ETN
CANO,Cano Health
CHPT,ChargePoint Holdings
CCL,Carnival Corporation Common Stock
CCJ,Cameco Corporation Common Stock
CDE,Coeur Mining
CIM,Chimera Investment Corporation Common Stock
BTU,Peabody Energy Corporation Common Stock 
CLF,Cleveland-Cliffs Inc. Common Stock
CLVT,Clarivate Plc Ordinary Shares
CPNG,Coupang
CTRA,Coterra Energy Inc. Common Stock
CNHI,CNH Industrial N.V. Common Shares
CNK,Cinemark Holdings Inc Cinemark Holdings
CPLG,CorePoint Lodging Inc. Common Stock 
CNX,CNX Resources Corporation Common Stock
COTY,Coty Inc. Class A Common Stock
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
CS,Credit Suisse Group American Depositary Shares
CRK,Comstock Resources
CX,Cemex
CUK,Carnival Plc ADS ADS
CWEB,Direxion Daily CSI China Internet Index Bull 2X Shares
CVE,Cenovus Energy Inc Common Stock
DBA,Invesco DB Agriculture Fund
DBRG,DigitalBridge Group
DDD,3D Systems Corporation Common Stock
DBC,Invesco DB Commodity Index Tracking Fund
DB,Deutsche Bank AG Common Stock
DBO,Invesco DB Oil Fund
DNA,Ginkgo Bioworks Holdings
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share)
DM,Desktop Metal
DNMR,Danimer Scientific
DHT,DHT Holdings
DOC,Physicians Realty Trust Common Shares of Beneficial Interest
DUST,Direxion Daily Gold Miners Index Bear 2X Shares
DRH,Diamondrock Hospitality Company Common Stock
EAF,GrafTech International Ltd. Common Stock
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares
EGY,VAALCO Energy
EPD,Enterprise Products Partners L.P. Common Stock
ENLC,EnLink Midstream
EQT,EQT Corporation Common Stock
ERJ,Embraer S.A. Common Stock
ERF,Enerplus Corporation Common Stock
ET,Energy Transfer LP Common Units 
ERY,Direxion Daily Energy Bear 2X Shares
ETRN,Equitrans Midstream Corporation Common Stock 
ETWO,E2open Parent Holdings
EWH,iShares MSCI Hong Kong Index Fund
EXPR,Express
EWA,iShares MSCI Australia Index Fund
EXK,Endeavour Silver Corporation Ordinary Shares (Canada)
F,Ford Motor Company Common Stock
FAZ,Direxion Financial Bear 3X Shares
FHN,First Horizon Corporation Common Stock
FCG,First Trust Natural Gas ETF
FBP,First BanCorp. New Common Stock
FENY,Fidelity MSCI Energy Index ETF
FPE,First Trust Preferred Securities and Income ETF ETF
FIGS,FIGS
FNB,F.N.B. Corporation Common Stock
FSR,Fisker Inc. Class A Common Stock
FTCH,Farfetch Limited Class A Ordinary Shares
FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada)
FTI,TechnipFMC plc Ordinary Share
FXN,First Trust Energy AlphaDEX Fund
FUBO,fuboTV Inc. Common Stock
GATO,Gatos Silver
GENI,Genius Sports Limited Ordinary Shares
GCI,Gannett Co.
GEO,Geo Group Inc (The) REIT
GLDM,SPDR Gold MiniShares Trust
GOLD,Barrick Gold Corporation Common Stock (BC)
GPS,Gap
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares
GFI,Gold Fields Limited American Depositary Shares
GGB,Gerdau S.A. Common Stock
GNW,Genworth Financial Inc Common Stock
HLX,Helix Energy Solutions Group
HBI,Hanesbrands Inc. Common Stock
HMY,Harmony Gold Mining Company Limited
HL,Hecla Mining Company Common Stock
GSG,iShares GSCI Commodity-Indexed Trust Fund
HIMS,Hims & Hers Health
HPE,Hewlett Packard Enterprise Company Common Stock
HRB,H&R Block
HUYA,HUYA Inc. American depositary shares
HYLN,Hyliion Holdings Corp. Class A Common Stock
INDO,Indonesia Energy Corporation Limited Ordinary Shares
IOT,Samsara Inc. Class A Common Stock
IS,ironSource Ltd. Class A Ordinary Shares
INFY,Infosys Limited American Depositary Shares
ING,ING Group
IONQ,IonQ
IBN,ICICI Bank Limited Common Stock
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
IRT,Independence Realty Trust
IVZ,Invesco Ltd Common Stock
JOBY,Joby Aviation
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares
JETS,U.S. Global Jets ETF
JMIA,Jumia Technologies AG American Depositary Shares
JWN,Nordstrom
KAR,KAR Auction Services
KMI,Kinder Morgan
KIM,Kimco Realty Corporation Common Stock
KODK,Eastman Kodak Company Common New
KGC,Kinross Gold Corporation Common Stock
LICY,Li-Cycle Holdings Corp. Common Shares
KOS,Kosmos Energy Ltd. Common Shares (DE)
LDI,loanDepot
LABU,Direxion Daily S&P Biotech Bull 3X Shares
LTHM,Livent Corporation Common Stock
LUMN,Lumen Technologies
LU,Lufax Holding Ltd American Depositary Shares
LC,LendingClub Corporation Common Stock
MAC,Macerich Company (The) Common Stock
LXP,LXP Industrial Trust Common Stock (Maryland REIT)
MBT,Mobile TeleSystems Public Joint Stock Company American Depositary Shares (Each representing 2 Shares of Common Stock)
MSOS,AdvisorShares Trust AdvisorShares Pure US Cannabis ETF
MFC,Manulife Financial Corporation Common Stock
MFA,MFA Financial
MPW,Medical Properties Trust
MRO,Marathon Oil Corporation Common Stock
NEX,NexTier Oilfield Solutions Inc. Common Stock
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares
MPLN,MultiPlan Corporation Class A Common Stock
MUFG,Mitsubishi UFJ Financial Group
NG,Novagold Resources Inc.
NIO,NIO Inc. American depositary shares
NLY,Annaly Capital Management Inc Common Stock
NOV,NOV Inc. Common Stock
NLSN,Nielsen N.V. Ordinary Shares
NOG,Northern Oil and Gas
NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN
NOVA,Sunnova Energy International Inc. Common Stock
NOK,Nokia Corporation Sponsored American Depositary Shares
NRZ,New Residential Investment Corp. Common Stock
NU,Nu Holdings Ltd. Class A Ordinary Shares
NUGO,Nuveen Growth Opportunities ETF
NVTA,Invitae Corporation Common Stock
NYCB,New York Community Bancorp
NXE,Nexgen Energy Ltd. Common Shares
NUVB,Nuvation Bio Inc. Class A Common Stock
ORC,Orchid Island Capital
ORCC,Owl Rock Capital Corporation Common Stock
OSCR,Oscar Health
OSH,Oak Street Health
OUST,Ouster
PAGS,PagSeguro Digital Ltd. Class A Common Shares
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock
OWL,Blue Owl Capital Inc. Class A Common Stock
PBF,PBF Energy Inc. Class A Common Stock
PBR.A,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares
PGX,Invesco Preferred ETF
PBI,Pitney Bowes Inc. Common Stock
PCG,Pacific Gas & Electric Co. Common Stock
PHYS,Sprott Physical Gold Trust ETV
PL,Planet Labs PBC Class A Common Stock
POND,Angel Pond Holdings Corporation Class A Ordinary Shares
PSFE,Paysafe Limited Common Shares
PLTR,Palantir Technologies Inc. Class A Common Stock
PK,Park Hotels & Resorts Inc. Common Stock 
PRTY,Party City Holdco Inc. Common Stock
PSLV,Sprott Physical Silver Trust ETV
PSQ,ProShares Short QQQ
QS,QuantumScape Corporation Class A Common Stock
QID,ProShares UltraShort QQQ
RAD,Rite Aid Corporation Common Stock
RIG,Transocean Ltd (Switzerland) Common Stock
RRC,Range Resources Corporation Common Stock
RF,Regions Financial Corporation Common Stock
RSI,Rush Street Interactive
RC,Ready Capital Corproation Common Stock
RKT,Rocket Companies
RSX,VanEck Russia ETF
RLJ,RLJ Lodging Trust Common Shares of Beneficial Interest $0.01 par value
RLX,RLX Technology Inc. American Depositary Shares
SBEV,Splash Beverage Group
SAN,Banco Santander
SAVE,Spirit Airlines
RWM,ProShares Short Russell2000
SAND,Sandstorm Gold Ltd. Ordinary Shares (Canada)
SBSW,D/B/A Sibanye-Stillwater Limited ADS
SCO,ProShares UltraShort Bloomberg Crude Oil
SH,ProShares Short S&P500
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares)
SGOL,Aberdeen Standard Physical Gold Shares ETF
SLI,Standard Lithium Ltd. Common Shares
SKLZ,Skillz Inc. Class A Common Stock
SITC,SITE Centers Corp. Common Stock
SPDN,Direxion Daily S&P 500 Bear 1X Shares
SHO,Sunstone Hotel Investors
SID,Companhia Siderurgica Nacional S.A. Common Stock
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored American Depositary Shares (Japan)
SLV,iShares Silver Trust
SOXS,Direxion Daily Semiconductor Bear 3x Shares
SPCE,Virgin Galactic Holdings
STEM,Stem
SPXS,Direxion Daily S&P 500 Bear 3X
SPXU,ProShares UltraPro Short S&P500
STWD,STARWOOD PROPERTY TRUST
T,AT&T Inc.
TBT,ProShares UltraShort Lehman 20  Year Treasury
STLA,Stellantis N.V. Common Shares
SWN,Southwestern Energy Company Common Stock
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock)
TBF,ProShares Short 20+ Year Treasury
TIPX,SPDR Bloomberg 1-10 Year TIPS ETF
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares
TEF,Telefonica SA Common Stock
TV,Grupo Televisa S.A. Common Stock
TMF,Direxion Daily 20-Yr Treasury Bull 3x Shrs
TME,Tencent Music Entertainment Group American Depositary Shares
TWM,ProShares UltraShort Russell2000
TWO,Two Harbors Investment Corp
UAA,Under Armour
UA,Under Armour
USER,UserTesting
UP,Wheels Up Experience Inc. Class A Common Stock
UBS,UBS Group AG Registered Ordinary Shares
UNG,United States Natural Gas Fund LP
URA,Global X Uranium ETF
UMC,United Microelectronics Corporation (NEW) Common Stock
VALE,VALE S.A.  American Depositary Shares Each Representing one common share
UVXY,ProShares Trust Ultra VIX Short Term Futures ETF
UUUU,Energy Fuels Inc Ordinary Shares (Canada)
UWMC,UWM Holdings Corporation Class A Common Stock
VLTA,Volta
VIXY,ProShares Trust VIX Short-Term Futures ETF
VIPS,Vipshop Holdings Limited American Depositary Shares
WE,WeWork Inc. Class A Common Stock
VXX,iPath Series B S&P 500 VIX Short-Term Futures ETN
WIT,Wipro Limited Common Stock
WTI,W&T Offshore
WU,Western Union Company (The) Common Stock
VST,Vistra Corp. Common Stock
VET,Vermilion Energy Inc. Common (Canada)
YMM,Full Truck Alliance Co. Ltd. American Depositary Shares (each representing 20 Class A Ordinary Shares)
YEXT,Yext
X,United States Steel Corporation Common Stock
ZYME,Zymeworks Inc. Common Shares
YINN,Direxion Daily FTSE China Bull 3x Shares
YPF,YPF Sociedad Anonima Common Stock
