DTIL,Precision BioSciences
DVAX,Dynavax Technologies Corporation - Common Stock
ENNV,ECP Environmental Growth Opportunities Corp. - Class A Common Stock
EQRX,EQRx
ENVX,Enovix Corporation - Common Stock
ERAS,Erasca
EXEL,Exelixis
ESSC,East Stone Acquisition Corporation - Ordinary Shares
EVGO,EVgo Inc. - Common Stock
EUFN,iShares MSCI Europe Financials Sector Index Fund
ESPR,Esperion Therapeutics
ERIC,Ericsson - American Depositary Shares each representing 1 underlying Class B share
FFIE,Faraday Future Intelligent Electric Inc. - Common Stock
FGEN,FibroGen
FLNC,Fluence Energy
FTCI,FTC Solar
EXPI,eXp World Holdings
FCEL,FuelCell Energy
EXTR,Extreme Networks
FLMN,Falcon Minerals Corporation - Class A Common Stock
FLEX,Flex Ltd. - Ordinary Shares
FOLD,Amicus Therapeutics
GHIXU,Gores Holdings IX
GMVD,G Medical Innovations Holdings Ltd. - Ordinary Shares
GDRX,GoodRx Holdings
GOGL,Golden Ocean Group Limited - Common Stock
GGPI,Gores Guggenheim
GEVO,Gevo
GOEV,Canoo Inc.  - Class A Common Stock
GMDA,Gamida Cell Ltd. - Ordinary Shares
GPRO,GoPro
FULT,Fulton Financial Corporation - Common Stock
GRFS,Grifols
GRAB,Grab Holdings Limited - Class A Ordinary Shares
GSEV,Gores Holdings VII
GT,The Goodyear Tire & Rubber Company - Common Stock
GRTS,Gritstone bio
GRWG,GrowGeneration Corp. - Common Stock
GRPN,Groupon
GSM,Ferroglobe PLC - Ordinary Shares
GSKY,GreenSky
GRUB,Just Eat Takeaway.com N.V. - American Depositary Shares
HCSG,Healthcare Services Group
GTHX,G1 Therapeutics
HCMAU,HCM Acquisition Corp - Unit
GTAC,Global Technology Acquisition Corp. I - Class A Ordinary Shares
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF
HLTH,Cue Health Inc. - Common Stock
HBMD,Howard Bancorp
HBAN,Huntington Bancshares Incorporated - Common Stock
HMHC,Houghton Mifflin Harcourt Company - Common Stock
HIMX,Himax Technologies
HNST,The Honest Company
HTZ,Hertz Global Holdings
HTZWW,Hertz Global Holdings
HYZN,Hyzon Motors Inc. - Class A Common Stock
HOOD,Robinhood Markets
HUT,Hut 8 Mining Corp. - Common Shares
HRTX,Heron Therapeutics
IBRX,ImmunityBio
HST,Host Hotels  - Common Stock
HOPE,Hope Bancorp
INDI,indie Semiconductor
INVZ,Innoviz Technologies Ltd. - Ordinary shares
INFN,Infinera Corporation - Common Stock
ICLN,iShares S&P Global Clean Energy Index Fund
IMGN,ImmunoGen
INSM,Insmed
IMTE,Integrated Media Technology Limited - Ordinary Shares
INO,Inovio Pharmaceuticals
IMMR,Immersion Corporation - Common Stock
INSG,Inseego Corp. - Common Stock
KNBE,KnowBe4
IQ,iQIYI
ISPC,iSpecimen Inc. - Common Stock
JBLU,JetBlue Airways Corporation - Common Stock
IOVA,Iovance Biotherapeutics
IRWD,Ironwood Pharmaceuticals
ISBC,Investors Bancorp
KMPH,KemPharm
KC,Kingsoft Cloud Holdings Limited - American Depositary Shares
ISEE,IVERIC bio
KNDI,Kandi Technologies Group
KOPN,Kopin Corporation - Common Stock
LGAC,Lazard Growth Acquisition Corp. I - Ordinary Shares
KPTI,Karyopharm Therapeutics Inc. - Common Stock
KURA,Kura Oncology
LLNW,Limelight Networks
LESL,Leslie's
KTOS,Kratos Defense & Security Solutions
LAUR,Laureate Education
LAZR,Luminar Technologies
LTCH,Latch
MGNI,Magnite
ME,23andMe Holding Co. - Common Stock
MARA,Marathon Digital Holdings
LWLG,Lightwave Logic
MBOT,Microbot Medical Inc.  - Common Stock
LZ,LegalZoom.com
MGI,Moneygram International
MAT,Mattel
LX,LexinFintech Holdings Ltd. - American Depositary Shares
MNDT,Mandiant
MQ,Marqeta
MTTR,Matterport
MVST,Microvast Holdings
MLCO,Melco Resorts & Entertainment Limited - American Depositary Shares 
MVIS,MicroVision
MRVI,Maravai LifeSciences Holdings
MRVL,Marvell Technology
MOMO,Hello Group Inc.  - American Depositary Shares
MNKD,MannKind Corporation - Common Stock
NVTS,Navitas Semiconductor Corporation - Common Stock
NKLA,Nikola Corporation - Common Stock
NAVI,Navient Corporation - Common Stock
NKTR,Nektar Therapeutics - Common Stock
NFE,New Fortress Energy Inc. - Class A Common Stock
NMRK,Newmark Group
NNOX,NANO-X IMAGING LTD - Ordinary Shares
NEO,NeoGenomics
NNDM,Nano Dimension Ltd. - American Depositary Shares
NWL,Newell Brands Inc. - Common Stock
OCDX,Ortho Clinical Diagnostics Holdings plc - Ordinary Shares
OLPX,Olaplex Holdings
NYMT,New York Mortgage Trust
OCSL,Oaktree Specialty Lending Corporation - Common Stock
NWSA,News Corporation - Class A Common Stock
OPK,Opko Health
ONEM,1Life Healthcare
ONB,Old National Bancorp - Common Stock
OPEN,Opendoor Technologies Inc  - Common Stock
OCGN,Ocugen
OTLY,Oatly Group AB - American Depositary Shares
PAYO,Payoneer Global Inc. - Common Stock
ORMP,Oramed Pharmaceuticals Inc. - Common Stock
PAGP,Plains GP Holdings
OXLC,Oxford Lane Capital Corp. - Common Stock
OZON,Ozon Holdings PLC - ADS
OSUR,OraSure Technologies
PAA,Plains All American Pipeline
PACB,Pacific Biosciences of California
PAAS,Pan American Silver Corp. - Common Stock
PLTK,Playtika Holding Corp. - Common Stock
PLYA,Playa Hotels & Resorts N.V. - Ordinary Shares
PBCT,People's United Financial
PIK,Kidpik Corp. - Common Stock
PCT,PureCycle Technologies
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF
PLUG,Plug Power
POWW,AMMO
POSH,Poshmark
PLBY,PLBY Group
PTRA,Proterra Inc - Common Stock
PRPL,Purple Innovation
PWP,Perella Weinberg Partners - Class A Common Stock
PRCH,Porch Group
PSEC,Prospect Capital Corporation - Common Stock
PTEN,Patterson-UTI Energy
PRTS,CarParts.com
QRTEA,Qurate Retail
PUBM,PubMatic
QFIN,360 DigiTech
QSI,Quantum-Si Incorporated - Class A Common Stock
RKLB,Rocket Lab USA
REAL,The RealReal
RELI,Reliance Global Group
REE,REE Automotive Ltd. - Class A Ordinary Shares
RENT,Rent the Runway
QYLD,Global X NASDAQ-100 Covered Call ETF
RCM,R1 RCM Inc. - Common Stock
RDUS,Radius Health
RIOT,Riot Blockchain
RXRX,Recursion Pharmaceuticals
RMNI,Rimini Street
RVNC,Revance Therapeutics
SANA,Sana Biotechnology
ROIC,Retail Opportunity Investments Corp. - Common Stock
RMBS,Rambus
SABR,Sabre Corporation - Common Stock
RXT,Rackspace Technology
SBLK,Star Bulk Carriers Corp. - Common Shares
SBRA,Sabra Health Care REIT
SEAT,Vivid Seats Inc. - Class A common stock
SHCR,Sharecare
SLDP,Solid Power
SDIG,Stronghold Digital Mining
SKIN,The Beauty Health Company - Class A Common Stock
SGMO,Sangamo Therapeutics
SHLS,Shoals Technologies Group
SLM,SLM Corporation - Common Stock
SIRI,Sirius XM Holdings Inc. - Common Stock
SFIX,Stitch Fix
SMFR,Sema4 Holdings Corp. - Class A Common Stock
SOFI,SoFi Technologies
SPWH,Sportsman's Warehouse Holdings
SONO,Sonos
SOPA,Society Pass Incorporated - Common Stock
SPWR,SunPower Corporation - Common Stock
SSRM,SSR Mining Inc. - Common Stock
SRNE,Sorrento Therapeutics
SSYS,Stratasys
STNE,StoneCo Ltd. - Class A Common Share
STRN,Stran & Company
SWIM,Latham Group
TBLA,Taboola.com Ltd. - Ordinary Shares
SVFD,Save Foods
TDUP,ThredUp Inc. - Class A Common Stock
SUMO,Sumo Logic
TBPH,Theravance Biopharma
TACO,Del Taco Restaurants
SWBI,Smith & Wesson Brands
SVC,Service Properties Trust - Shares of Beneficial Interest
TSP,TuSimple Holdings Inc. - Class A Common Stock
TLS,Telos Corporation - Common Stock
TLRY,Tilray Brands
TWOU,2U
TWNK,Hostess Brands
TTCF,Tattooed Chef
TPIC,TPI Composites
TIGR,UP Fintech Holding Limited - American Depositary Shares representing fifteen Class A Ordinary Shares
TTMI,TTM Technologies
TGTX,TG Therapeutics
UROY,Uranium Royalty Corp. - Common Stock
USOI,Credit Suisse X-Links Crude Oil Shares Covered Call ETN
UMPQ,Umpqua Holdings Corporation - Common Stock
UNIT,Uniti Group Inc. - Common Stock
VLY,Valley National Bancorp - Common Stock
VIAV,Viavi Solutions Inc. - Common Stock
VKTX,Viking Therapeutics
VLDR,Velodyne Lidar
VERU,Veru Inc. - Common Stock
VG,Vonage Holdings Corp. - Common Stock
VMEO,Vimeo
VNET,VNET Group
VRAY,ViewRay
VOD,Vodafone Group Plc - American Depositary Shares each representing ten Ordinary Shares
VRM,Vroom
VXRT,Vaxart
VTRS,Viatris Inc. - Common Stock
WEN,Wendy's Company (The) - Common Stock
VTNR,Vertex Energy
VUZI,Vuzix Corporation  - Common Stock
WOOF,Petco Health and Wellness Company
AAC,Ares Acquisition Corporation Class A Ordinary Shares
ZY,Zymergen Inc. - Common Stock
ZVZZT,NASDAQ TEST STOCK
ZNGA,Zynga Inc. - Class A Common Stock
WKHS,Workhorse Group
WW,WW International
WIMI,WiMi Hologram Cloud Inc. - American Depositary Share
WETF,WisdomTree Investments
XRX,Xerox Holdings Corporation - Common Stock
ACHR,Archer Aviation Inc. Class A Common Stock
AEVA,Aeva Technologies
ADT,ADT Inc. Common Stock
AES,The AES Corporation Common Stock
AGL,agilon health
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
ABR,Arbor Realty Trust Common Stock
AEO,American Eagle Outfitters
AEG,AEGON N.V. Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
ALIT,Alight
AM,Antero Midstream Corporation Common Stock
AGRO,Adecoagro S.A. Common Shares
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN
AHT,Ashford Hospitality Trust Inc Common Stock
AMC,AMC Entertainment Holdings
AMCR,Amcor plc Ordinary Shares
AIV,Apartment Investment and Management Company Common Stock
AMWL,American Well Corporation Class A Common Stock
AR,Antero Resources Corporation Common Stock
ARI,Apollo Commercial Real Estate Finance
APLE,Apple Hospitality REIT
AMX,America Movil
APRN,Blue Apron Holdings
AQN,Algonquin Power & Utilities Corp. Common Shares
ASB,Associated Banc-Corp Common Stock
ARR,ARMOUR Residential REIT
ARLO,Arlo Technologies
AROC,Archrock
ATIP,ATI Physical Therapy
ATI,Allegheny Technologies Incorporated Common Stock
ASX,ASE Technology Holding Co.
ATEN,A10 Networks
ATUS,Altice USA
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AXL,American Axle & Manufacturing Holdings
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AVYA,Avaya Holdings Corp. Common Stock
AU,AngloGold Ashanti Limited Common Stock
BARK,BARK
BCS,Barclays PLC Common Stock
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BB,BlackBerry Limited Common Stock
BDN,Brandywine Realty Trust Common Stock
BDJ,Blackrock Enhanced Equity Dividend Trust
BBD,Banco Bradesco Sa American Depositary Shares
BE,Bloom Energy Corporation Class A Common Stock
BFLY,Butterfly Network
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial Interest
BITO,ProShares Bitcoin Strategy ETF
BLND,Blend Labs
BKKT,Bakkt Holdings
BKLN,Invesco Senior Loan ETF
BKD,Brookdale Senior Living Inc. Common Stock
BRMK,Broadmark Realty Capital Inc. Common Stock
BOX,Box
BRFS,BRF S.A.
BRX,Brixmor Property Group Inc. Common Stock
BTCM,BIT Mining Limited ADS
BULZ,MicroSectors FANG & Innovation 3x Leveraged ETN
CANO,Cano Health
BSBR,Banco Santander Brasil SA American Depositary Shares
BTG,B2Gold Corp Common shares (Canada)
BSAC,Banco Santander - Chile ADS
BTZ,BlackRock Credit Allocation Income Trust
BVN,Buenaventura Mining Company Inc.
BTU,Peabody Energy Corporation Common Stock 
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share
CCO,Clear Channel Outdoor Holdings
CIM,Chimera Investment Corporation Common Stock
CLF,Cleveland-Cliffs Inc. Common Stock
CDE,Coeur Mining
CLM,Cornerstone Strategic Value Fund
CCJ,Cameco Corporation Common Stock
CCL,Carnival Corporation Common Stock
CLVT,Clarivate Plc Ordinary Shares
CHS,Chico's FAS
CHPT,ChargePoint Holdings
CNM,Core & Main
CND,Concord Acquisition Corp. Class A Common Stock
CMRE,Costamare Inc. Common Stock $0.0001 par value
CNK,Cinemark Holdings Inc Cinemark Holdings
CNHI,CNH Industrial N.V. Common Shares
COOK,Traeger
COMP,Compass
CNX,CNX Resources Corporation Common Stock
CNR,Cornerstone Building Brands
COTY,Coty Inc. Class A Common Stock
CTRA,Coterra Energy Inc. Common Stock
COUR,Coursera
CPNG,Coupang
CPLG,CorePoint Lodging Inc. Common Stock 
CSPR,Casper Sleep Inc. Common Stock
CRF,Cornerstone Total Return Fund
CS,Credit Suisse Group American Depositary Shares
CRK,Comstock Resources
CRHC,Cohn Robbins Holdings Corp. Class A Ordinary Shares
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada)
CVII,Churchill Capital Corp VII Class A Common Stock
CZOO,Cazoo Group Ltd Class A Ordinary Shares
CUK,Carnival Plc ADS ADS
CXM,Sprinklr
CVE,Cenovus Energy Inc Common Stock
CWEB,Direxion Daily CSI China Internet Index Bull 2X Shares
CX,Cemex
CVM,Cel-Sci Corporation Common Stock
CYH,Community Health Systems
CWK,Cushman & Wakefield plc Ordinary Shares
DAN,Dana Incorporated Common Stock 
DBI,Designer Brands Inc. Class A Common Stock
DBA,Invesco DB Agriculture Fund
DBC,Invesco DB Commodity Index Tracking Fund
DDL,Dingdong (Cayman) Limited American Depositary Shares (each two representing three Ordinary Shares)
DBRG,DigitalBridge Group
DBO,Invesco DB Oil Fund
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares
DB,Deutsche Bank AG Common Stock
DDD,3D Systems Corporation Common Stock
DIDI,DiDi Global Inc. American Depositary Shares (each four representing one Class A Ordinary Share)
DNA,Ginkgo Bioworks Holdings
DM,Desktop Metal
DNMR,Danimer Scientific
DK,Delek US Holdings
DHT,DHT Holdings
DNB,Dun & Bradstreet Holdings
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares
DRH,Diamondrock Hospitality Company Common Stock
DOC,Physicians Realty Trust Common Shares of Beneficial Interest
DTC,Solo Brands
DV,DoubleVerify Holdings
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest
EBR,Centrais Electricas Brasileiras S A American Depositary Shares (Each representing one Common Share)
DUST,Direxion Daily Gold Miners Index Bear 2X Shares
DX,Dynex Capital
EAF,GrafTech International Ltd. Common Stock
EGHT,8x8 Inc Common Stock
EC,Ecopetrol S.A. American Depositary Shares
EGO,Eldorado Gold Corporation Ordinary Shares
ENLC,EnLink Midstream
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares)
ERY,Direxion Daily Energy Bear 2X Shares
EQX,Equinox Gold Corp. Common Shares
EQT,EQT Corporation Common Stock
EPD,Enterprise Products Partners L.P. Common Stock
ELY,Callaway Golf Company Common Stock
ERF,Enerplus Corporation Common Stock
ERJ,Embraer S.A. Common Stock
ESI,Element Solutions Inc. Common Stock
ESRT,Empire State Realty Trust
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest
EURN,Euronav NV Ordinary Shares
ETWO,E2open Parent Holdings
EWH,iShares MSCI Hong Kong Index Fund
ET,Energy Transfer LP Common Units 
EWS,iShares Inc iShares MSCI Singapore ETF
ETRN,Equitrans Midstream Corporation Common Stock 
EWA,iShares MSCI Australia Index Fund
FATH,Fathom Digital Manufacturing Corporation Class A Common Stock
EXK,Endeavour Silver Corporation Ordinary Shares (Canada)
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest
F,Ford Motor Company Common Stock
FENY,Fidelity MSCI Energy Index ETF
FCAX,Fortress Capital Acquisition Corp. Class A Ordinary Shares
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock
FAZ,Direxion Financial Bear 3X Shares
FBP,First BanCorp. New Common Stock
FCG,First Trust Natural Gas ETF
FIGS,FIGS
FPE,First Trust Preferred Securities and Income ETF ETF
FREY,FREYR Battery Ordinary Shares
FHN,First Horizon Corporation Common Stock
FLR,Fluor Corporation Common Stock
FNB,F.N.B. Corporation Common Stock
FSR,Fisker Inc. Class A Common Stock
FSM,Fortuna Silver Mines Inc Ordinary Shares (Canada)
FSK,FS KKR Capital Corp. Common Stock
FRO,Frontline Ltd. Ordinary Shares
GENI,Genius Sports Limited Ordinary Shares
GAB,Gabelli Equity Trust
FUBO,fuboTV Inc. Common Stock
GCI,Gannett Co.
FTCH,Farfetch Limited Class A Ordinary Shares
GEO,Geo Group Inc (The) REIT
FTI,TechnipFMC plc Ordinary Share
GFI,Gold Fields Limited American Depositary Shares
FXN,First Trust Energy AlphaDEX Fund
GES,Guess?
GOAC,GO Acquisition Corp. Class A Common Stock
GLDM,SPDR Gold MiniShares Trust
GROY,Gold Royalty Corp. Common Shares
GPK,Graphic Packaging Holding Company
GSG,iShares GSCI Commodity-Indexed Trust Fund
GPS,Gap
GNW,Genworth Financial Inc Common Stock
GGB,Gerdau S.A. Common Stock
GOLD,Barrick Gold Corporation Common Stock (BC)
GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing 2 Pfd Shares
HAYW,Hayward Holdings
HKIB,AMTD International Inc. American Depositary Shares
HLGN,Heliogen
HIO,Western Asset High Income Opportunity Fund
HBM,Hudbay Minerals Inc. Ordinary Shares (Canada)
HIBS,Direxion Daily S&P 500 High Beta Bear 3X Shares
HIMS,Hims & Hers Health
GSL,Global Ship Lease Inc New Class A Common Shares
HBI,Hanesbrands Inc. Common Stock
HL,Hecla Mining Company Common Stock
HMA.U,Heartland Media Acquisition Corp. Units
HYT,Blackrock Corporate High Yield Fund
HPE,Hewlett Packard Enterprise Company Common Stock
HTGC,Hercules Capital
HPP,Hudson Pacific Properties
HRB,H&R Block
HLX,Helix Energy Solutions Group
HUYA,HUYA Inc. American depositary shares
HMY,Harmony Gold Mining Company Limited
HYLN,Hyliion Holdings Corp. Class A Common Stock
INFY,Infosys Limited American Depositary Shares
IOT,Samsara Inc. Class A Common Stock
IONQ,IonQ
IRNT,IronNet
IBN,ICICI Bank Limited Common Stock
IPOD,Social Capital Hedosophia Holdings Corp. IV Class A Ordinary Shares
IPOF,Social Capital Hedosophia Holdings Corp. VI Class A Ordinary Shares
ING,ING Group
ILF,iShares Latin America 40 ETF
IRT,Independence Realty Trust
IS,ironSource Ltd. Class A Ordinary Shares
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares
IVAN,Ivanhoe Capital Acquisition Corp. Class A Ordinary Shares
JPC,Nuveen Preferred & Income Opportunities Fund
JOBY,Joby Aviation
JETS,U.S. Global Jets ETF
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares)
JPS,Nuveen Preferred & Income Securities Fund
IVZ,Invesco Ltd Common Stock
JMIA,Jumia Technologies AG American Depositary Shares
KD,Kyndryl Holdings
KIND,Nextdoor Holdings
JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest
KGC,Kinross Gold Corporation Common Stock
KEY,KeyCorp Common Stock
KMI,Kinder Morgan
KAR,KAR Auction Services
KIM,Kimco Realty Corporation Common Stock
KN,Knowles Corporation Common Stock
JWN,Nordstrom
KNSW.U,KnightSwan Acquisition Corporation Units
LEV,The Lion Electric Company Common Shares
KOS,Kosmos Energy Ltd. Common Shares (DE)
KRG,Kite Realty Group Trust Common Stock
LEVI,Levi Strauss & Co Class A Common Stock
KODK,Eastman Kodak Company Common New
KT,KT Corporation Common Stock
LC,LendingClub Corporation Common Stock
LBRT,Liberty Oilfield Services Inc. Class A Common Stock
LABU,Direxion Daily S&P Biotech Bull 3X Shares
LICY,Li-Cycle Holdings Corp. Common Shares
LPL,LG Display Co
LXP,LXP Industrial Trust Common Stock (Maryland REIT)
LGF.B,Lions Gate Entertainment Corporation Class B Non-Voting Shares
LU,Lufax Holding Ltd American Depositary Shares
LUMN,Lumen Technologies
MBI,MBIA Inc. Common Stock
M,Macy's Inc Common Stock
MAC,Macerich Company (The) Common Stock
LTHM,Livent Corporation Common Stock
META,Roundhill Ball Metaverse ETF
MIC,Macquarie Infrastructure Holdings
MIR,Mirion Technologies
MKFG,Markforged Holding Corporation Common Stock
MGY,Magnolia Oil & Gas Corporation Class A Common Stock
MFA,MFA Financial
MFC,Manulife Financial Corporation Common Stock
MBT,Mobile TeleSystems Public Joint Stock Company American Depositary Shares (Each representing 2 Shares of Common Stock)
MJ,ETFMG Alternative Harvest ETF
MNR,Monmouth Real Estate Investment Corporation Class A Common Stock
NAD,Nuveen Quality Municipal Income Fund Common Stock
MWA,MUELLER WATER PRODUCTS Common Stock
MUFG,Mitsubishi UFJ Financial Group
MRO,Marathon Oil Corporation Common Stock
MYOV,Myovant Sciences Ltd. Common Shares
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares
MTG,MGIC Investment Corporation Common Stock
MSOS,AdvisorShares Trust AdvisorShares Pure US Cannabis ETF
MPW,Medical Properties Trust
MPLN,MultiPlan Corporation Class A Common Stock
NEA,Nuveen AMT-Free Quality Municipal Income Fund Common Shares of Beneficial Interest Par Value $.01
NEX,NexTier Oilfield Solutions Inc. Common Stock
NLSN,Nielsen N.V. Ordinary Shares
NLY,Annaly Capital Management Inc Common Stock
NG,Novagold Resources Inc.
NOK,Nokia Corporation Sponsored American Depositary Shares
NMR,Nomura Holdings Inc ADR American Depositary Shares
NLS,Nautilus
NOG,Northern Oil and Gas
NOV,NOV Inc. Common Stock
NU,Nu Holdings Ltd. Class A Ordinary Shares
NTCO,Natura &Co Holding S.A. American Depositary Shares 
NXE,Nexgen Energy Ltd. Common Shares
NVTA,Invitae Corporation Common Stock
NPTN,NeoPhotonics Corporation Common Stock
NWG,NatWest Group plc American Depositary Shares
NYCB,New York Community Bancorp
NOVA,Sunnova Energy International Inc. Common Stock
NRGD,MicroSectors U.S. Big Oil Index -3X Inverse Leveraged ETN
NRZ,New Residential Investment Corp. Common Stock
OLO,Olo Inc. Class A Common Stock
ORC,Orchid Island Capital
ORCC,Owl Rock Capital Corporation Common Stock
OI,O-I Glass
OUST,Ouster
OACB,Oaktree Acquisition Corp. II Class A Ordinary Shares
OSCR,Oscar Health
ORI,Old Republic International Corporation Common Stock
OR,Osisko Gold Royalties Ltd Common Shares
OSH,Oak Street Health
OWL,Blue Owl Capital Inc. Class A Common Stock
OUT,OUTFRONT Media Inc. Common Stock
PBI,Pitney Bowes Inc. Common Stock
PBF,PBF Energy Inc. Class A Common Stock
PAGS,PagSeguro Digital Ltd. Class A Common Shares
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock
PDI,PIMCO Dynamic Income Fund Common Stock
PEB,Pebblebrook Hotel Trust Common Shares of Beneficial Interest
PBR.A,Petroleo Brasileiro S.A.- Petrobras American Depositary Shares
PCG,Pacific Gas & Electric Co. Common Stock
PGX,Invesco Preferred ETF
PMT,PennyMac Mortgage Investment Trust Common Shares of Beneficial Interest
PLTR,Palantir Technologies Inc. Class A Common Stock
PGRE,Paramount Group
PL,Planet Labs PBC Class A Common Stock
PHYS,Sprott Physical Gold Trust ETV
PSFE,Paysafe Limited Common Shares
PRTY,Party City Holdco Inc. Common Stock
PING,Ping Identity Holding Corp. Common Stock
PK,Park Hotels & Resorts Inc. Common Stock 
PSP,Invesco Global Listed Private Equity ETF
PTY,Pimco Corporate & Income Opportunity Fund
PSQ,ProShares Short QQQ
PSLV,Sprott Physical Silver Trust ETV
PSTH,Pershing Square Tontine Holdings
QUOT,Quotient Technology Inc. Common Stock
PSTG,Pure Storage
